0,1,2,3,4
绕组,DC-3030119-006,聚酯漆包圆铜线,DC-3030119-007,Y05060-002copy_8
有绕组定子铁心,DC-3030119-002,槽绝缘,DC-3030119-008,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,层间绝缘,DC-3030119-009,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,相间绝缘,DC-3030119-010,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,盖槽纸,DC-3030119-011,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,绝缘套管,DC-3030119-012,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,绝缘端板,DC-3030119-013,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,槽楔,DC-3030119-014,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,绝缘漆,DC-3030119-015,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,热缩套管,DC-3030119-016,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,热敏元件,DC-3030119-017,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,银铜焊条紫铜管,DC-3030119-018,Y05060-002copy_7
银铜焊条紫铜管,DC-3030119-018,机座,DC-3030119-019,Y05060-002copy_8
银铜焊条紫铜管,DC-3030119-018,进出水口,DC-3030119-020,Y05060-002copy_8
有绕组定子铁心,DC-3030119-002,内套,DC-3030119-021,Y05060-002copy_7
有绕组定子铁心,DC-3030119-002,外套,DC-3030119-022,Y05060-002copy_7
外套,DC-3030119-022,接线端子,DC-3030119-023,Y05060-002copy_8
外套,DC-3030119-022,定子轴向固定块,DC-3030119-024,Y05060-002copy_8
电机,3030119-000,转子,DC-3030119-025,Y05060-002copy_5
转子,DC-3030119-025,转子铁心,DC-3030119-026,Y05060-002copy_6
转子铁心,DC-3030119-026,转子冲片,DC-3030119-027,Y05060-002copy_7
转子冲片,DC-3030119-027,硅钢片,DC-3030119-028,Y05060-002copy_8
转子,DC-3030119-025,磁钢,DC-3030119-029,Y05060-002copy_6
转子,DC-3030119-025,转子支架,DC-3030119-030,Y05060-002copy_6
转子,DC-3030119-025,轴,DC-3030119-031,Y05060-002copy_6
转子,DC-3030119-025,键,DC-3030119-032,Y05060-002copy_6
转子,DC-3030119-025,平衡端板,DC-3030119-033,Y05060-002copy_6
转子,DC-3030119-025,环氧胶,DC-3030119-034,Y05060-002copy_6
电机,3030119-000,旋转变压器,DC-3030119-035,Y05060-002copy_5
电机,3030119-000,轴承,DC-3030119-036,Y05060-002copy_5
电机,3030119-000,油封,DC-3030119-037,Y05060-002copy_5
电机,3030119-000,前后端盖,DC-3030119-038,Y05060-002copy_5
电机,3030119-000,接线盒,DC-3030119-039,Y05060-002copy_5
接线盒,DC-3030119-039,接线盒盖,DC-3030119-040,Y05060-002copy_6
接线盒,DC-3030119-039,接线盒座,DC-3030119-041,Y05060-002copy_6
接线盒,DC-3030119-039,防水接头,DC-3030119-042,Y05060-002copy_6
接线盒,DC-3030119-039,接线板,DC-3030119-043,Y05060-002copy_6
接线板,DC-3030119-043,接线板体,DC-3030119-044,Y05060-002copy_7
接线板,DC-3030119-043,接线螺栓,DC-3030119-045,Y05060-002copy_7
接线板,DC-3030119-043,接线链接片,DC-3030119-046,Y05060-002copy_7
接线板,DC-3030119-043,弱电接线连接器,DC-3030119-047,Y05060-002copy_7
电推剪,B05060-002copy,DC电机贴,5040054-000,Y05060-002copy_4
电推剪,B05060-002copy,偏心轮,2080132-000,Y05060-002copy_4
电推剪,B05060-002copy,正极片,2070227-000,Y05060-002copy_4
电推剪,B05060-002copy,负极弹片,2070172-000,Y05060-002copy_4
电推剪,B05060-002copy,行程接触片,2070112-000,Y05060-002copy_4
电推剪,B05060-002copy,螺丝,2050075-000,Y05060-002copy_4
电推剪,B05060-002copy,螺丝,2050068-000,Y05060-002copy_4
电推剪,B05060-002copy,螺丝,2050093-000,Y05060-002copy_4
电推剪,B05060-002copy,电子板,3070611-000,Y05060-002copy_4
电推剪,B05060-002copy,刀头组件,S05060000-00,Y05060-002copy_4
刀头组件,S05060000-00,刀座,1010317-000,Y05060-002copy_5
刀座,1010317-000,POM,1040045-000,Y05060-002copy_6
刀座,1010317-000,母粒,1040096-000,Y05060-002copy_6
刀头组件,S05060000-00,定刀片,5020005-000,Y05060-002copy_5
刀头组件,S05060000-00,动刀片,5020006-000,Y05060-002copy_5
刀头组件,S05060000-00,刀垫,1051407-000,Y05060-002copy_5
刀垫,1051407-000,POM,1040045-000,Y05060-002copy_6
刀头组件,S05060000-00,弹簧,2020021-000,Y05060-002copy_5
刀头组件,S05060000-00,螺丝,2050093-000,Y05060-002copy_5
电推剪,B05060-002copy,电子线,3015272-000,Y05060-002copy_4
电推剪,B05060-002copy,电子线,3015273-000,Y05060-002copy_4
电推剪,B05060-002copy,电子线,3015283-000,Y05060-002copy_4
电推剪,B05060-002copy,弹簧,2020404-000,Y05060-002copy_4
